STT	Cauhoi	1	2	3	4	Dapan
87	Câu nói “làm thế nào để khách hàng bỏ phiếu bằng đô la cho sản phẩm của doanh nghiệp” thể hiện quan điểm marketing nào trong các đáp án sau?A. Tập trung sản xuấtB. Tập trung vào khách hàng.C. Tập trung hoàn thiện sản phẩm. D. Tập trung vào bán hàng.	Tập trung sản xuất	Tập trung vào khách hàng.	Tập trung hoàn thiện sản phẩm.	Tập trung vào bán hàng.	2
88	Theo quan điểm marketing hiện đại, để kinh doanh thành công, doanh nghiệp chỉ cần tập trung vào mục tiêu nào trong các đáp án sau?	Cung cấp cho khách hàng những sản phẩm hoàn hảo nhất.	Đầu tư hệ thống cửa hàng hiện đại nhất	Thoả mãn mong muốn của khách hàng bằng những phương thức hữu hiệu hơn so với các đối thủ cạnh tranh.	Huấn luyện đội ngũ nhân viên bán hàng chuyên nghiệp.	3
89	Sự cân đối giữa lợi nhuận của doanh nghiệp, thoả mãn nhu cầu của khách hàng và lợi ích xã hội là một đòi hỏi đối với nhà marketing theo quan điểm nào? *	Marketing định hướng thị trường.	Marketing định hướng sản xuất.	Marketing đạo đức xã hội.	Marketing định hướng sản phẩm.	3
90	Môi trường marketing vĩ mô bao gồm những yếu tố sau, ngoại trừ:	Nhân khẩu	Kinh tế	Văn hóa	Nhà cung ứng	4
91	Giai đoạn nào thực hiện tiếp sau nhận biết nhu cầu trong quá trình quyết định mua của người tiêu dùng theo lý thuyết:	Tìm kiếm thông tin	Đánh giá các phương án	Quyết định mua	Đánh giá sau mua	1
92	Đáp án nào thể hiện đúng ưu điểm của thông tin thứ cấp (Secondary information):	Nhanh và rẻ hơn thông tin sơ cấp (Primary information).	Độ tin cậy cao hơn thông tin sơ cấp.	Chi phí tốn kém hơn thu thập thông tin sơ cấp	Mất nhiều thời gian thu thập hơn thông tin sơ cấp	1
93	Trao đổi không thể xảy ra được nếu thiếu các điều kiện sau đây, ngoại trừ?	Có hai bên có những vật có giá trị đối với bên kia và có ý định trao đổi.	Hai bên được một bên nào đó bắt buộc trao đổi.	Các bên được tự do trao đổi.	Hai bên đều có khả năng thực hiện hành vi trao đổi.	2
94	Vai trò của marketing đối với doanh nghiệp được thể hiện trong đáp án nào? *	Tiếp thị sản phẩm và dịch vụ tới khách hàng	Tạo sự kết nối các hoạt động của doanh nghiệp với thị trường	Thúc đẩy tiêu thụ càng nhiều càng tốt	Đáp ứng các yêu cầu của cộng đồng	2
95	Hãng hàng không X định giá vé hạng một bay ngày là 189 USD, hạng hai bay đêm là 149 USD, chiến lược giá phân biệt này căn cứ vào:	Theo hạng hàng hóa	Theo thời gian	Theo loại khách hàng	Theo hạng hàng hóa và theo mức độ nhu cầu	4
96	Khi xác định khoảng cách giá giữa các mức giá cho các loại hàng trong một chủng loại hàng, cần chú ý các nhân tố sau, ngoại trừ:	Tính chất của các loại sản phẩm	Mức giá của các sản phẩm cạnh tranh	Cách đánh giá của khách hàng về đặc điểm của các loại sản phẩm	Khả năng thanh toán của khách hàng	4
97	Một doanh nghiệp tung sản phẩm mới ra thị trường và sử dụng chiến lược giá Hớt phần ngon thì xu hướng sẽ là:	Duy trì giá đó cho đến khi sản phẩm bị loại khỏi thị trường	Duy trì giá đó cho đến khi có sản phẩm mới thay thế	Duy trì giá đó cho đến khi có sản phẩm cạnh tranh	Duy trì giá đó cho đến khi tiêu thụ chậm lại thì giảm giá	4
98	Chiến lược giá nào sau đây đúng với chiến lược giá phân biệt theo thời gian cao điểm và thấp điểm?	Giá vé máy bay hạng Business và Economy	Giá một cốc cà phê tại “quán cóc’ và tại khách sạn Melia	Giá cước điện thoại lúc 16 giờ và lúc 24 giờ	Giá vé tàu hoả cho nhà kinh doanh và cho sinh viên	3
99	Câu 1. Marketing truyền thống được bắt đầu với quan điểm tập trung vào…	Sản xuất	Khách hàng	Cả sản xuất và khách hàng.	Sản phẩm	1
100	Câu 2. Một đoạn thị trường sẽ được đánh giá là kém hấp dẫn nếu:	Doanh nghiệp dễ dàng thâm nhập.	Sự gia nhập của các đối thủ mới khá dễ dàng.	Khó có khả năng thay thế sản phẩm	Người mua ít có khả năng chi phối về giá	2
101	Câu 3. Sự cân đối lợi nhuận của doanh nghiệp, thoả mãn nhu cầu của khách hàng và lợi ích xã hội là một đòi hỏi đối với nhà marketing theo quan điểm	Marketing định hướng thị trường	Marketing định hướng sản xuất.	Marketing đạo đức xã hội.	Marketing định hướng sản phẩm	3
102	Câu 4. Trao đổi không thể xảy ra được nếu thiếu các điều kiện sau đây, ngoại trừ	Có hai bên có những vật có giá trị đối với bên kia và có ý định trao đổi.	Hai bên được một bên nào đó thúc đẩy trao đổi.	Các bên được tự do trao đổi.	Hai bên đều có khả năng thực hiện hành vi trao đổi.	2
103	Câu 5. Môi trường marketing vi mô bao gồm các yếu tố sau, ngoại trừ	Thị trường và kênh marketing của doanh nghiệp.	Người cạnh tranh	Các trung gian marketing.	Công nghệ và kỹ thuật	4
104	Câu 6. Khác nhau cơ bản của quan điểm bán hàng và quan điểm marketing là	Bán hàng bắt đầu từ nghiên cứu nhu cầu của khách hàng	Bán hàng nhằm mục tiêu đạt lợi nhuận nhờ tăng lượng bán.	Bán hàng tập trung vào sự hiểu biết nhu cầu của khách hàng	Bán hàng sử dụng công cụ marketing -mix	2
105	Câu 7. Marketing mục tiêu được hiểu là	Tập trung sản xuất ra sản phẩm và tìm cách bán chúng.	Kích thích nhu cầu mua sắm của khách hàng để bán hàng	Nghiên cứu và tìm cách thoả mãn nhu cầu của khách hàng trên cơ sở bảo đảm lợi ích khách hàng và mục tiêu của doanh nghiệp.	Hoàn thiện sản phẩm để đáp ứng nhu cầu của khách hàng	3
106	Câu 8. Sản phẩm trong marketing phải bao gồm những đặc trưng sau, ngoại trừ	Một thứ nào đó có khả năng chào bán	Một thứ nào đó có khả năng thoả mãn nhu cầu	Một thứ nào đó có khả năng gây chú ý và kích thích tiêu dùng	Một thứ nào đó có sẵn trong tự nhiên	4
107	Câu 9. Thông tin thứ cấp thường có thể thu thập được	Nhanh và rẻ hơn thông tin sơ cấp	Chính xác hơn thông tin sơ cấp	Qua điều tra khách hàng	Qua điều tra khách hàng và các nguồn tài liệu	1
108	Câu 10. Khi bạn đang lật giở cuốn “thực đơn” của một nhà hàng để chọn món ăn cho bữa tối là bạn đang ở giai đoạn nào trong quá trình đi đến quyết định mua?	Tìm kiếm thông tin.	Phân tích thông tin	Đánh giá phương án	Nhận biết nhu cầu của mình.	3
109	Câu 11. Nghiên cứu marketing nhằm mục đích:	Định giá bán sản phẩm cao hơn	Mang lại cho các nhà marketing những thông tin về môi trường marketing và hành vi của khách hàng tiềm năng	Để thâm nhập thị trường	Để tổ chức phân phối sản phẩm	2
110	Câu 12. Thị trường mục tiêu của doanh nghiệp là đọan thị trường:	Doanh nghiệp đang cạnh tranh với những người cạnh tranh	Doanh nghiệp đang bán sản phẩm của mình.	Doanh nghiệp đang có doanh thu và lợi nhuận cao	Doanh nghiệp lựa chọn hướng mọi nỗ lực marketing vào.	4
111	Câu 13. Theo quan điểm marketing, thị trường tiềm năng là	Là tổng thể những người mua sản phẩm của doanh nghiệp.	Là những khách hàng đang và sẽ mua sản phẩm của doanh nghiệp.	Là tập hợp những người chưa mua sản phẩm của doanh nghiệp và đang mua sản phẩm của người cạnh tranh	Là thị trường hiện tại của doanh nghiệp cộng với thị trường mở rộng mới của doanh nghiệp	3
112	Câu 14. Trình tự của các câu hỏi trong phiếu điều tra khách hàng có thể sắp xếp	Bất kỳ theo ý muốn của người điều tra	Câu hỏi khó trả lời hoặc mang tính chất cá nhân nên để lên trước	Câu hỏi khó trả lời hoặc mang tính chất cá nhân nên để sau	Xen kẽ các câu hỏi theo ý đồ của người điều tra	3
113	Câu 15. Một cuộc nghiên cứu marketing xác định được rằng nếu chấp nhận giảm giá 10% thì doanh thu tăng ít nhất 15%, đó là một cuộc nghiên cứu	Thứ yếu	Thăm dò	Sơ cấp	Thứ cấp	3
114	Câu 16. Một sản phẩm đã ở giai đoạn suy thoái trên thị trường hiện tại vẫn có thể	ở giai đoạn giới thiệu của thị trường mới.	ở giai đoạn tăng trưởng của thị trường hiện tại.	ở giai đoạn bão hoà của thị trường mới.	ở giai đoạn tăng trưởng của thị trường mới.	1
115	Câu 17. Một sản phẩm đang ở mức tiêu thụ chậm do năng lực sản xuất sản phẩm thấp, kênh tiêu thụ chưa mở rộng, khách hàng chưa biết nhiều về sản phẩm là đang ở giai đoạn nào sau đây trong chu kỳ sống của nó?	Giới thiệu.	Tăng trưởng	Bão hòa	Suy thoái	1
116	Câu 18. Nghiên cứu chu kỳ sống sản phẩm có ý nghĩa nào sau đây đối với người làm marketing?	Phối hợp có hiệu quả các bộ phận của marketing –mix và thực hiện chiến lược liên kết sản phẩm với thị trường có hiệu quả.	Chuẩn bị nguồn tài chính cho sản xuất sản phẩm mới.	Lập kế hoạch kinh doanh của doanh nghiệp	Tăng hiệu quả kinh doanh	1
117	Câu 19. Bất cứ cái gì mang lại sự thoả mãn cho nhu cầu con người và có thể chào bán trên thị trường đều được gọi là	Một thứ có giá trị	Một sản phẩm	Một thứ có thể mua bán	Một vật quan trọng	2
118	Câu 20. Từ góc độ marketing, một sản phẩm được coi là có chất lượng tốt khi	Sản xuất theo đúng thiết kế sản phẩm	Tuân theo tiêu chuẩn chất lượng đã qui định sẵn	Khi khách hàng nói rằng sản phẩm có chất lượng tốt	Đáp ứng được yêu cầu của doanh nghiệp và nhà quản lý	3
119	Câu 21. Lợi nhuận của sản phẩm thường đạt tới đỉnh ở gần cuối giai đoạn nào trong chu kỳ sống?	Giới thiệu.	Tăng trưởng	Trưởng thành	Bão hoà	4
120	Câu 22. Đặt cửa hàng quần áo nữ trong khu nội trú sinh viên nữ là phương án lựa chọn thị trường	Tập trung vào một đoạn thị trường	Chuyên môn hoá tuyển chọn	Chuyên môn hoá theo thị trường	Chuyên môn hoá theo sản phẩm	1
121	Câu 23. Có thể khẳng định rằng:	Marketing và bán hàng là hai thuật ngữ đồng nghĩa	Marketing và bán hàng là hai thuật ngữ khác biệt nhau.	Bán hàng bao hàm marketing	Marketing khác biệt với hoạt động bán hàng.	2
122	Câu 24. Điều nào sau đây đúng với khái niệm thị trường mục tiêu trong marketing của doanh nghiệp?	Là những nhóm khách hàng mà doanh nghiệp cần tập trung mọi nỗ lực marketing để thu hút	Là những nhóm khách hàng đã và đang tiêu dùng sản phẩm của doanh nghiệp	Là những nhóm khách hàng đã và đang tiêu dùng sản phẩm của doanh nghiệp và người cạnh tranh	Là khách hàng có nhu cầu đang tìm kiếm người cung ứng và đang lựa chọn giữa những lời chào hàng	1
123	Câu 25. Chiến lược marketing của doanh nghiệp hướng tới một nhóm người tiêu dùng thì được gọi là:	Chiến lược marketing tiêu dùng	Chiến lược marketing mục tiêu	Chiến lược marketing nhằm thúc đẩy bán lẻ	Chiến lược marketing củng cố thị trường nội địa.	2
124	Câu 26. Nếu áp dụng marketing -mix giống nhau đối với các đoạn thị trường, điều đó sẽ làm cho:	Chi phí marketing tăng.	Chi phí marketing giảm	Chi phí marketing không tăng, không giảm	Chi phí marketing tăng giảm thất thường	2
125	Câu 27. Những nhóm người có lối sống khác nhau mang lại cho các nhà marketing	Những đoạn thị trường phân biệt	Những đoạn thị trường tương đồng.	Không thể phân đoạn dựa vào lối sống	Những đoạn thị trường tổng thể	1
126	Câu 28. Doanh nghiệp muốn đạt được lợi nhuận, khi sử dụng các yếu tố của marketing -mix cần phải	Coi sản phẩm là vấn đề quan trọng nhất.	Coi giá cả là yếu tố duy nhất	Kết hợp cả bốn yếu tố của marketing -mix.	Chỉ cần sử dụng một trong bốn yếu tố marketing -mix là đủ	3
127	Câu 29. Giai đoạn thứ nhất trong quá trình đi đến quyết định mua của người tiêu dùng là:	Tìm kiếm thông tin	Tìm kiếm bằng trí nhớ.	Đánh giá những đề xuất	Nhận ra vấn đề	4
128	Câu 30. Bạn là người kết hợp trang phục rất trang nhã, mọi người thường hỏi bạn về thời trang. Vậy bạn là:	Người dẫn dắt dư luận	Người mua	Người mẫu.	Người biết làm vừa lòng	1
129	Câu 31. Sự thoả mãn sau khi mua tuỳ thuộc vào	Giá của hàng hoá cao hay thấp	ự mong đợi của người tiêu dùng	Sự mong đợi của người tiêu dùng và sự hoàn thiện của sản phẩm	Kết quả so sánh giữa chi phí bỏ ra và lợi ích thu được từ sản phẩm	4
130	Câu 32. Động cơ của người mua được hiểu là:	Hành vi mang tính định hướng	Là nhu cầu đã trở nên bức thiết mà con người phải hành động để thoả mãn.	Là một trạng thái kích thích của môi trường.	Là một loại nhu cầu ở thứ hạng cao.	2
131	Câu 33. Điều nào sau đây đúng với nhiệm vụ của nhà marketing?	Thiết kế sản phẩm đáp ứng nhu cầu của khách hàng	Hiểu được những gì xảy ra trong “hộp đen ý thức người mua”	Thực hiện khuyến mại liên tục để kích thích người mua	Làm việc với các nhà sản xuất để mua hàng hóa/ dịch vụ	2
132	Câu 34. Doanh nghiệp General Motor chuyên sản xuất ô tô, các loại ôtô của doanh nghiệp được gọi là	Chủng loại sản phẩm	Danh mục sản phẩm	Nhóm chủng loại sản phẩm	Các cách gọi trên đều sai	1
133	Câu 35. Khái niệm marketing gợi ý rằng việc hoàn thành mục tiêu của doanh nghiệp phải thông qua:	Lượng bán hàng gia tăng	Cung cấp những sản phẩm cải tiến liên tục	Bảo đảm độ thoả dụng cao nhất cho người tiêu dùng	Định giá bán sản phẩm cao để thu lợi nhuận	3
134	Câu 36. Hàng điện tử thông dụng được xếp vào nhóm Sản phẩm lâu bền, hữu hình là cách phân loại sản phẩm theo tiêu chí nào sau đây:	Theo thời gian và hình thái tồn tại	Theo thói quen mua hàng	Theo công dụng sản phẩm	Theo trạng thái tồn tại.	1
135	Câu 37. Định nghĩa marketing cổ điển cho thấy	Marketing là sự dự đoán, quản lý và thoả mãn nhu cầu thông qua trao đổi	Marketing là hướng luồng hàng hoá và dịch vụ từ nơi sản xuất đến nơi tiêu dùng	Marketing là nghiên cứu nhu cầu của khách hàng	Marketing là thoả mãn nhu cầu của khách hàng	2
136	Câu 38. Hoạt động trao đổi mang tính thương mại được gọi là	Chuyển giao	Giao dịch	Đổi hàng	Bán hàng	2
137	Câu 39. Môi trường marketing của một doanh nghiệp bao gồm	Những nhân tố nội bộ	Những nhân tố bên ngoài	Cả nhân tố nội bộ và nhân tố bên ngoài	Những nhân tố có thể kiểm soát được	3
138	Câu 40. Đe dọa của sản phẩm thay thế là một trong những yếu tố quyết định	Đoạn thị trường đó có qui mô như thế nào?	Đoạn thị trường đó có phù hợp với mục tiêu của doanh nghiệp không?	Đoạn thị trường đó có hấp dẫn không?	Đoạn thị trường đó có mang lại doanh thu không?	3
139	Câu 41. Các tiêu chuẩn đánh giá để lựa chọn thị trường mục tiêu cần dựa vào các tiêu thức sau, ngoại trừ	Qui mô và tăng trưởng của thị trường.	Sự hấp dẫn của thị trường	Mục tiêu và khả năng của doanh nghiệp	Ý đồ của lãnh đạo doanh nghiệp	4
140	Câu 42. Lợi nhuận của sản phẩm thường đạt tới đỉnh ở gần cuối giai đoạn nào trong chu kỳ sống?	Giới thiệu.	Tăng trưởng	Trưởng thành	Bão hoà	4
141	Câu 43. Khi quyết định cung cấp dịch vụ sản phẩm, người làm marketing nên	Xem xét yêu cầu về dịch vụ của khách hàng	Xem xét loại sản phẩm cung ứng ra thị trường	Xem xét năng lực của nhà cung cấp	Xem xét lợi nhuận của dịch vụ sản phẩm mang lại	1
142	Câu 44. Năm lực lượng cạnh tranh trên một thị trường ngành của Michael Porter là đối thủ cạnh tranh tiềm ẩn, đối thủ cạnh tranh trong ngành, sản phẩm thay thế, khách hàng và nhà cung cấp được các doanh nghiệp sử dụng để	Xác định mức độ cạnh tranh trong ngành	Xác định mức độ hấp dẫn của đoạn thị trường	Định vị sản phẩm	Hoạch định chính sách marketing hỗn hợp	2
143	Câu 45. Điều nào sau đây đúng với phân đoạn thị trường?	Là chia thị trường thành các nhóm khách hàng có các đặc điểm và nhu cầu tương đồng nhau.	Cho phép doanh nghiệp xây dựng một chương trình marketing phù hợp với toàn bộ thị trường.	Giúp cho doanh nghiệp phân bổ nguồn lực một cách có hiệu quả.	Đáp ứng yêu cầu kinh doanh của doanh nghiệp	1
144	Câu 46. Để định vị sản phẩm trên thị trường, thị trường doanh nghiệp cần:	Giảm giá bán sản phẩm.	Giảm chi phí để tăng lợi nhuận.	Làm cho sản phẩm của doanh nghiệp khác biệtvới sản phẩm cạnh tranh.	Làm cho sản phẩm có chất lượng cao hơn.	3
145	Câu 47. Đặt cho sản phẩm của doanh nghiệp những nhãn hiệu riêng biệt có ưu điểm:	Giảm chi phí quảng cáo khi tung một sản phẩm mới ra thị trường	Cung cấp thông tin riêng về sự khác biệt của các loại sản phẩm và ràng buộc uy tín của doanh nghiệp với một sản phẩm cụ thể.	Giảm chi phí quảng cáo và cung cấp thông tin riêng về sự khác biệt của các loại sản phẩm khi tung một sản phẩm mới ra thị trường	Cung cấp thông tin riêng về sự khác biệt của các loại sản phẩm và không ràng buộc uy tín của doanh nghiệp với một sản phẩm cụ thể	4
146	Câu 48. Điều nào sau đây cho thấy mức độ hài hoà của danh mục hàng hoá?	Các sản phẩm chào bán có mối quan hệ gắn bó về cácđặc tính sử dụng và cách thức sử dụng nhằm thoả mãn nhu cầu đa dạng của người tiêu dùng	Các sản phẩm chào bán có mối quan hệ gắn bó về các đặc tính sử dụng và cách thức sử dụng. Các sản phẩm có cùng thương hiệu hoặc thương hiệu có nhiều điểm tương tự nhau trong cùng danh mục hàng hoá	Phản ánh mức độ gần gũi của hàng hoá thuộc các nhóm chủng loại khác nhau dưới góc độ mục đích sử dụng, tổ chức sản xuất và phân phối	Mức độ đồng nhất của các loại hàng hoá về chất lượng, giá cả, mục đích sử dụng và cách thức phân phối	3
147	Câu 49. Để tăng thêm sự hấp dẫn của sản phẩm đối với khách hàng các doanh nghiệp thường cung ứng thêm các dịch vụ bổ sung. Theo anh/chị, khi cung ứng dịch vụ bổ sung cho khách hàng cần lưu ý những vấn đề gì?	Bằng chứng hữu hình và độ tin cậy của dịch vụ; Thái độ và trình độ hiểu biết của nhân viên cung ứng dịch vụ; Nên cung ứng dịch vụ gắn với sản phẩm hay tách riêng	Bằng chứng hữu hình và độ tin cậy của dịch vụ; Thái độ và trình độ hiểu biết của nhân viên cung ứng dịch vụ; Nên tính giá dịch vụ vào giá sản phẩm	Bằng chứng hữu hình và độ tin cậy của dịch vụ; Thái độ và trình độ hiểu biết của nhân viên cung ứng dịch vụ; Chất lượng của dịch vụ cung ứng; Nên tính giá dịch vụ vào giá sản phẩm hay tách riêng	Bằng chứng hữu hình và độ tin cậy của dịch vụ; Thái độ và trình độ hiểu biết của nhân viên cung ứng dịch vụ; Nên tính giá dịch vụ vào giá sản phẩm hay tách riêng	4
148	Câu 50. Câu nào sau đây thuộc diện thông tin do pháp luật qui định phải ghi?	Hút thuốc có hại cho sức khỏe	Đọc kỹ hướng dẫn trước khi dùng	Hàng Việt Nam chất lượng cao	Xem hạn dùng dưới đáy hộp	1
149	Câu 51. Doanh nghiệp General Motor chuyên sản xuất các loại ô tô, các loại ô tô của doanh nghiệp được gọi là	Chủng loại sản phẩm	Danh mục sản phẩm	Nhóm chủng loại sản phẩm	Các cách gọi trên đều sai	1
150	Câu 52. Hàng ngày, bạn sử dụng một chiếc xe đạp rất tốt để đi đến trường. Vậy lợi ích cốt lõi của chiếc xe đạp đó là gì?	Là phương tiện đi lại.	Là sự đắt tiền của nó hơn xe đạp của các bạn khác.	Nhờ sử dụng xe đạp mà sức khoẻ của bạn tăng lên	Là thể hiện sự sang trọng của bạn.	1
151	Câu 53. Từ góc độ của khách hàng, sản phẩm doanh nghiệp cung ứng cho khách hàng phải là	Sản phẩm hữu hình	Sản phẩm vô hình.	Sản phẩm hữu hình và vô hình.	Sản phẩm hữu hình và vô hình, mang lại sự thoả mãn nhu cầu.	1
152	Câu 54. Kinh doanh cần tìm kiếm lợi nhuận ở bộ phận nào sau đây của sản phẩm?	Sản phẩm.	Bao bì	Dịch vụ cung ứng cùng sản phẩm.	Ở cả sản phẩm, bao bì và dịch vụ cung ứng cùng sản phẩm.	4
153	Câu 55. Hàng điện tử thông dụng được xếp vào nhóm Sản phẩm lâu bền, hữu hình là phân loại sản phẩm	Theo thời gian và hình thái tồn tại	Theo thói quen mua hàng	Theo công dụng sản phẩm	Theo trạng thái tồn tại	1
154	Câu 56. Chức năng nào của bao bì thương mại sản phẩm được xem là “Người bán hàng im lặng”	Xúc tiến (Promotion)	Cân đối (Proportation)	Bảo vệ (Protection)	Giới thiệu (Presentation)	1
155	Câu 57. Sản phẩm trong marketing phải bao gồm những đặc trưng sau	Một thứ nào đó có khả năng chào bán	Một thứ nào đó có khả năng thoả mãn nhu cầu	Một thứ nào đó có khả năng gây chú ý và kích thích tiêu dùng	Tất cả các phương án trên	4
156	Câu 58. Một sản phẩm đã ở pha suy tàn trên thị trường hiện tại vẫn có thể là	ở pha giới thiệu của thị trường mới	ở pha tăng trưởng của thị trường hiện tại	ở pha bão hoà ở thị trường mới	ở pha tăng trưởng của thị trường mới	1
157	Câu 59. Một sản phẩm đang ở mức tiêu thụ chậm do năng lực sản xuất sản phẩm thấp, kênh tiêu thụ chưa mở rộng, khách hàng chưa biết nhiều về sản phẩm là đang ở giai đoạn nào sau đây trong chu kỳ sống (PLC) của nó?	Giới thiệu	Tăng trưởng	Bão hòa	Suy thoái	1
158	Câu 60. Nghiên cứu chu kỳ sống sản phẩm có ý nghĩa nào sau đây đối với người làm marketing?	Phối hợp có hiệu quả các bộ phận của chiến lược marketing – mix và thực hiện chiến lược liên kết sản phẩm với thị trường có hiệu quả.	Chuẩn bị nguồn tài chính cho sản xuất sản phẩm mới.	Lập kế hoạch kinh doanh của doanh nghiệp.	Tăng hiệu quả kinh doanh	1
159	Câu 61. Công việc nào sau đây nhà marketing không nên tiến hành nếu sản phẩm đang ở giai đoạn tăng trưởng trong chu kỳ sống (PLC) của nó?	Giữ và nâng cao chất lượng sản phẩm	Giữ nguyên hoặc tăng chi phí kích thích tiêu thụ	Tiếp tục thông tin mạnh mẽ về hàng hoá cho công chúng	Đánh giá và lựa chọn lại các kênh phân phối	1
160	Câu 62. Vận dụng lý thuyết chu kỳ sống sản phẩm vào hoạt động marketing, người làm marketing cần nhận thức được các điều sau đây, ngoại trừ:	Sản phẩm có thể bị loại khỏi thị trường ở giai đoạn suy thoái	Có thể thua lỗ trong suốt giai đoạn giới thiệu sản phẩm.	Thời kỳ bão hoà có thể kéo dài nếu điều chỉnh chiến lược sản phẩm.	Thời kỳ tăng trưởng ngắn là cần thiết để phát triển sản phẩm.	4
161	Câu 63. Một chu kỳ sống lý tưởng có các đặc trưng sau, ngoại trừ	Giai đoạn giới thiệu ngắn.	Giai đoạn tăng trưởng ngắn	Giai đoạn bảo hoà dài	Giai đoạn tăng trưởng dài.	4
162	Câu 64. Tất cả những dấu hiệu sau đây là những đặc điểm cấu thành một nhãn hiệu hàng hoá, ngoại trừ	Gợi ý về lợi ích của hàng hoá.	Tạo nên một hào quang đắt tiền.	Dễ đọc, dễ nhận biết và dễ nhớ	Có tính phân biệt.	2
163	Câu 65. Điều nào sau đây cho thấy bao gói hàng hoá trong điều kiện kinh doanh hiện nay là cần thiết, ngoại trừ	Sự phát triển của hệ thống cửa hàng tự phục vụ, tự chọn hàng hoá khi mua của khách hàng	Khách hàng sẵn sàng trả nhiều tiền hơn khi mua hàng hoá miễn là nó tiện lợi và sang trọng hơn	Bao gói sẽ làm tăng giá trị sử dụng của hàng hoá	Bao gói góp phần tạo hình ảnh về doanh nghiệp và nhãn hiệu hàng hoá, tạo khả năng và ý niệm về sự cải tiến hàng hoá	2
164	Câu 66. Đểnâng cao hiệu quả của bao gói hàng hóa, nhà quản trị marketing cần phải đưa ra các quyết định sau đây, ngoại trừ	Xây dựng quan niệm về bao gó	Quyết định về các yêu cầu và thử nghiệm bao gói	Quyết định về các thông tin trên bao bì	Quyết định về dịch vụ	4
165	Câu 67. Tại sao trong marketing bao bì lại trở nên quan trọng?	Do sự phát triển của hệ thống các cửa hàng tự động, các siêu thị, do thu nhập của khách hàng tăng và do bao bì tạo nên ý niệm về đổi mới sản phẩm, góp phân xây dựng hình ảnh sản phẩm và doanh nghiệp	Do sự phát triển của hệ thống các cửa hàng tự động, các siêu thị, do thu nhập của khách hàng tăng và do bao bì tạo nên ý niệm về đổi mới sản phẩm, do bao bì bảo vệ hàng hoá an toàn về số lượng và chất lượng	Do bao bì có chức năng bảo vệ, xúc tiến, mang vác, sẵn sàng, cân đối, giới thiệu và duy trì sản phẩm	Do khách hàng ngày càng trở nên khó tính và do bao bì tạo nên ý niệm về đổi mới sản phẩm, góp phân xây dựng hình ảnh sản phẩm và doanh nghiệp	4
166	Câu 68. Lợi ích cốt lõi của một sản phẩm được hiểu là:	Thoả mãn nhu cầu cụ thể của khách hàng và là điều khách hàng luôn hướng tới	Thoả mãn nhu cầu cụ thể của khách hàng nhưng khách hàng không chỉ hướng tới mà còn cần những đặc tính khác	Thoả mãn nhu cầu cụ thể của khách hàng và khách hàng luôn hướng tới nhưng đòi hỏi sự thay đổi cho phù hợp với nhu cầu	Thoả mãn nhu cầu cụ thể của khách hàng nhưng khách hàng hàng thường ít chú ý vì còn những đòi hỏi cao hơn về sản phẩm	1
167	Câu 69. Lợi ích bổ sung của một sản phẩm được hiểu là	Lợi ích tăng thêm do sản phẩm và dịch vụ bổ sung và cần có trong một sản phẩm nhưng chỉ có ý nghĩa với từng khách hàng cụ thể	Lợi ích tăng thêm do sản phẩm và dịch vụ bổ sung và luôn luồn cần thiết với mọi đối tượng khách hàng	Lợi ích tăng thêm do sản phẩm và dịch vụ bổ sung và sản phẩm sẽ có giá trị cao (bán được mức giá cao) cho khách hàng nếu có lợi ích này.	Lợi ích tăng thêm do sản phẩm và dịch vụ bổ sung và mọi khách hàng đều cần lợi ích bổ sung này, nhiều khi còn cần hơn lợi ích cót lõi	1
168	Câu 71. Khi doanh nghiệp lấy lợi nhuận mong đợi làm một trong các tiêu chuẩn xác định mức giá, doanh nghiệp này có thể là	hững doanh nghiệp sản xuất hàng tiêu dùng	Những doanh nghiệp công nghiệp độc quyền.	Những doanh nghiệp sản xuất tự do cạnh tranh	Doanh nghiệp công nghiệp độc quyền và tự do cạnh tranh	2
169	Câu 72. Một cửa hàng đã bán trọn gói máy vi tính, máy in, ổ đĩa CD và phần mềm sơ khởi thấp hơn giá mua từng loại thiết bị cộng lại là đã áp dụng kiểu chiến lược giá	Giá theo danh mục hàng hoá.	Giá khuyến mạ	Giá trọn gói	Giá phân biệt	3
170	Câu 73. Công viên nước Hồ Tây giảm giá vé cho các đoàn học sinh giỏi vào chơi là đã áp dụng kiểu chiến lược	Giá hai phần	Giá trọn gói	Giá phân biệt	Chiết giá thương mại	3
171	Câu 74. Một rạp hát tính giá vé cho sinh viên thấp hơn các khách hàng khác là áp dụng chiến lược giá:	Trọn gói	Hai phần	Có phân biệt	Ưu tiên	3
172	Câu 75. Với mục tiêu marketing là dẫn đầu thị phần thì doanh nghiệp nên đặt mức giá	Đặt mức giá tuỳ loại sản phẩm	Mức giá cao nhất có thể được	Mức giá thấp nhất có thể được	Điều chỉnh giá theo từng giai đoạn kinh doanh	3
173	Câu 76. Điều kiện nào sau đây thích hợp nhất cho doanh nghiệp áp dụng chiến lược giá “Hớt váng sữa”	Đường cầu thị trường ít co giãn	Sản phẩm đang ở giai đoạn tăng trưởng trong chu kỳ sống (PLC) của nó	Doanh nghiệp theo đuổi chiến lược kinh doanh đa mục tiêu	Doanh nghiệp có sản phẩm độc đáo, được bảo vệ bản quyền	4
